Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total sales,Performance
5043,DiRT 2,Wii,2009,Racing,Codemasters,0.11,0.23,0,0.04,0.38,non-performing
5044,Tokimeki Memorial: Forever with You,SAT,1996,Simulation,Konami Digital Entertainment,0,0,0.38,0,0.38,non-performing
5048,MX vs. ATV Untamed,PS2,2007,Racing,THQ,0.32,0.01,0,0.05,0.38,non-performing
5050,Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,Banpresto,0,0,0.38,0,0.38,non-performing
5051,Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts,0.14,0.15,0,0.09,0.38,non-performing
5052,Pokemon Channel,GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38,non-performing
5053,Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,0,0,0.38,0,0.38,non-performing
5054,Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.2,0.01,0.38,non-performing
5057,Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.09,0,0.03,0.38,non-performing
5059,Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0,0.06,0.38,non-performing
5060,Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.06,0.38,non-performing
5061,Madagascar: Escape 2 Africa,PS2,2008,Action,Activision,0.12,0,0,0.26,0.38,non-performing
5062,ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,0.32,0.03,0,0.03,0.38,non-performing
5064,Petz Rescue: Wildlife Vet,DS,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.38,non-performing
5068,Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,0.05,0.05,0.25,0.03,0.38,non-performing
5071,Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games,0,0,0.38,0,0.38,non-performing
5072,WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38,non-performing
5073,Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.12,0.2,0,0.06,0.38,non-performing
5074,The Legend of Spyro: A New Beginning,DS,2006,Platform,Vivendi Games,0.34,0.01,0,0.03,0.38,non-performing
5079,The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega,0.15,0.17,0,0.06,0.38,non-performing
5081,Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts,0.29,0.08,0,0.01,0.38,non-performing
5082,Quake 4,X360,2005,Shooter,Activision,0.32,0.03,0,0.03,0.38,non-performing
5083,Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft,0.35,0,0,0.03,0.38,non-performing
5085,Puppy Palace,DS,2008,Simulation,Ubisoft,0.35,0,0,0.03,0.38,non-performing
5087,Paws & Claws: Pampered Pets,DS,2009,Simulation,THQ,0.35,0,0,0.03,0.38,non-performing
5089,Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.19,0,0.07,0.38,non-performing
5092,The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games,0.32,0.03,0,0.03,0.38,non-performing
5105,Mini Ninjas,Wii,2009,Action,Eidos Interactive,0.17,0.17,0,0.04,0.38,non-performing
5108,Hell's Kitchen: The Game,DS,2008,Simulation,Ubisoft,0.34,0.01,0,0.03,0.38,non-performing
5113,Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,0.09,0.18,0.01,0.1,0.38,non-performing
5116,Madden NFL 11,PSP,2010,Sports,Electronic Arts,0.35,0,0,0.03,0.38,non-performing
5120,Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0,0.06,0.38,non-performing
5147,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,0.38,non-performing
5010,Skate,PS3,2007,Sports,Electronic Arts,0.29,0.05,0,0.04,0.38,non-performing
5018,Overlord: Dark Legend,Wii,2009,Action,Codemasters,0.12,0.22,0,0.04,0.38,non-performing
5031,NBA 2K7,PS3,2006,Sports,Take-Two Interactive,0.3,0.04,0,0.04,0.38,non-performing
5036,Virtua Tennis 2009,Wii,2009,Sports,Sega,0.13,0.21,0,0.04,0.38,non-performing
5099,Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,0.18,0.12,0.04,0.04,0.38,non-performing
5047,Hunter: The Reckoning,XB,2002,Action,Interplay,0.28,0.08,0,0.01,0.37,non-performing
5070,Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,0.37,non-performing
5076,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.37,non-performing
5091,SAW,PS3,2009,Action,Konami Digital Entertainment,0.13,0.17,0,0.07,0.37,non-performing
5100,NBA Inside Drive 2002,XB,2002,Sports,Microsoft Game Studios,0.28,0.08,0,0.01,0.37,non-performing
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,0.14,0.17,0,0.06,0.37,non-performing
5138,Bionic Commando,PS3,2009,Platform,Capcom,0.12,0.17,0.01,0.07,0.37,non-performing
4980,Phantasy Star Ø,DS,2008,Role-Playing,Sega,0.16,0,0.2,0.01,0.37,non-performing
5004,Destiny: The Taken King,X360,2015,Shooter,Activision,0.22,0.12,0,0.03,0.37,non-performing
5019,Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,0.21,0.14,0,0.02,0.37,non-performing
5030,Elite Beat Agents,DS,2006,Misc,Nintendo,0.31,0.03,0,0.03,0.37,non-performing
5042,Iron Man 2,PSP,2010,Action,Sega,0.18,0.12,0,0.07,0.37,non-performing
5045,MediEvil II,PS,1999,Action,Sony Computer Entertainment,0.21,0.14,0,0.02,0.37,non-performing
5046,Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,0.13,0.2,0,0.04,0.37,non-performing
5049,Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive,0.21,0.14,0,0.02,0.37,non-performing
5055,Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment,0.21,0.14,0,0.02,0.37,non-performing
5056,NCAA Final Four 2000,PS,1999,Sports,989 Sports,0.21,0.14,0,0.02,0.37,non-performing
5058,FIFA 17,PS3,2016,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.37,non-performing
5063,Hangman,2600,2007,Puzzle,Atari,0.35,0.02,0,0,0.37,non-performing
5065,Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.22,0.12,0,0.03,0.37,non-performing
5066,Gravitar,2600,1982,Action,Atari,0.35,0.02,0,0,0.37,non-performing
5067,Monster Jam: Path of Destruction,DS,2010,Racing,Activision,0.35,0,0,0.02,0.37,non-performing
5069,EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,0.37,non-performing
5075,Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.37,non-performing
5077,Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.37,non-performing
5078,Marvel Super Hero Squad,Wii,2009,Fighting,THQ,0.31,0.03,0,0.03,0.37,non-performing
5080,The Golden Compass,PSP,2007,Action,Sega,0.11,0.16,0,0.1,0.37,non-performing
5084,Solaris,2600,1986,Shooter,Atari,0.35,0.02,0,0,0.37,non-performing
5086,Super Dragon Ball Z,PS2,2006,Fighting,Atari,0.09,0.07,0.19,0.02,0.37,non-performing
5090,Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,0.19,0.03,0.13,0.02,0.37,non-performing
5093,Tobal 2,PS,1997,Fighting,SquareSoft,0,0,0.35,0.02,0.37,non-performing
5094,Digging for Dinosaurs,DS,2010,Action,Scholastic Inc.,0.35,0,0,0.02,0.37,non-performing
5096,Tiger Woods PGA Tour 09,PS2,2008,Sports,Electronic Arts,0.16,0,0,0.21,0.37,non-performing
5097,Ultimate Spider-Man,GC,2005,Action,Activision,0.29,0.07,0,0.01,0.37,non-performing
5101,The BIGS,Wii,2007,Sports,Take-Two Interactive,0.34,0,0,0.03,0.37,non-performing
5102,Major League Baseball 2K6,X360,2006,Sports,Spike,0.34,0,0,0.03,0.37,non-performing
5103,Kileak: The DNA Imperative,PS,1994,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02,0.37,non-performing
5104,Petz: Catz 2,PS2,2006,Simulation,Ubisoft,0.18,0.14,0,0.05,0.37,non-performing
5106,Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.2,0.14,0,0.03,0.37,non-performing
5107,Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega,0,0,0.37,0,0.37,non-performing
5109,LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.21,0.13,0,0.03,0.37,non-performing
5110,"Monsters, Inc. Scream Arena",GC,2002,Platform,THQ,0.29,0.07,0,0.01,0.37,non-performing
5111,Reel Fishing III,PS2,2003,Sports,Natsume,0.18,0.14,0,0.05,0.37,non-performing
5112,Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,0.18,0.14,0,0.05,0.37,non-performing
5114,Rampage: Total Destruction,PS2,2006,Action,Midway Games,0.18,0.14,0,0.05,0.37,non-performing
5115,High Heat Major League Baseball 2003,PS2,2002,Sports,3DO,0.18,0.14,0,0.05,0.37,non-performing
5117,Super Formation Soccer 94,SNES,1994,Sports,Human Entertainment,0,0,0.37,0,0.37,non-performing
5118,Panzer Dragoon,SAT,1995,Shooter,Sega,0,0,0.37,0,0.37,non-performing
5119,Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,0.21,0.13,0,0.03,0.37,non-performing
5121,Spider-Man: Friend or Foe,PS2,2007,Action,Activision,0.31,0.01,0,0.05,0.37,non-performing
5122,Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment,0,0,0.35,0.02,0.37,non-performing
5123,Dungeon Siege III,X360,2011,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,0.37,non-performing
5124,Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ,0.06,0.2,0,0.11,0.37,non-performing
5125,Rec Room Games,Wii,2009,Sports,Destineer,0.35,0,0,0.02,0.37,non-performing
5126,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,ChunSoft,0,0,0.32,0.05,0.37,non-performing
5129,Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0,0,0.37,non-performing
5130,Custom Robo,GC,2004,Role-Playing,Nintendo,0.29,0.07,0,0.01,0.37,non-performing
5133,Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,0.1,0.17,0,0.1,0.37,non-performing
5136,Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games,0,0,0.37,0,0.37,non-performing
5137,Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,Knowledge Adventure,0.26,0.1,0,0.01,0.37,non-performing
5140,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix,0,0,0.36,0.01,0.37,non-performing
5141,Dishonored,PS4,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37,non-performing
5143,NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts,0.34,0,0,0.03,0.37,non-performing
5144,Super Robot Taisen EX,SNES,1994,Strategy,Banpresto,0,0,0.37,0,0.37,non-performing
5146,Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment,0.37,0,0,0,0.37,non-performing
5149,Shin Megami Tensei II,SNES,1994,Role-Playing,Atlus,0,0,0.37,0,0.37,non-performing
5151,Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory,0.34,0,0,0.03,0.37,non-performing
5153,Need for Speed: The Run,PC,2011,Action,Electronic Arts,0.09,0.21,0,0.07,0.37,non-performing
5154,Virtua Fighter 3tb,DC,1998,Fighting,Sega,0,0,0.37,0,0.37,non-performing
5155,Transformers: Dark of the Moon,PS3,2011,Action,Activision,0.11,0.19,0,0.07,0.37,non-performing
5156,Mini-Yonku GB: Let's & Go!!,GB,1997,Strategy,ASCII Entertainment,0,0,0.37,0,0.37,non-performing
5157,Skylanders SWAP Force,PS4,2013,Platform,Activision,0.2,0.12,0,0.05,0.37,non-performing
5159,Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.25,0.05,0,0.07,0.37,non-performing
5162,NCAA Football 07,PSP,2006,Sports,Electronic Arts,0.34,0,0,0.03,0.37,non-performing
5169,Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.37,non-performing
5171,Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.24,0.09,0.01,0.03,0.37,non-performing
5172,ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,0.18,0.14,0,0.05,0.37,non-performing
5173,Bejeweled 3,DS,2007,Puzzle,Unknown,0.32,0.02,0,0.03,0.37,non-performing
5178,High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,0.18,0.14,0,0.05,0.37,non-performing
5179,Robots,PS2,2005,Action,Vivendi Games,0.18,0.14,0,0.05,0.37,non-performing
5180,NARC,PS2,2005,Shooter,Midway Games,0.18,0.14,0,0.05,0.37,non-performing
5185,Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,0.21,0.13,0,0.03,0.37,non-performing
5187,Monster Rancher 3,PS2,2001,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,0.37,non-performing
5188,The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,0.18,0.14,0,0.05,0.37,non-performing
5193,Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,0.26,0.1,0,0.01,0.37,non-performing
5194,Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.37,non-performing
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,2007,Action,Unknown,0.26,0.1,0,0.01,0.37,non-performing
5199,Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,0.29,0.05,0,0.03,0.37,non-performing
5200,NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.33,0.01,0,0.03,0.37,non-performing
5204,NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,0.18,0.14,0,0.05,0.37,non-performing
5214,Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,Activision,0.26,0.1,0,0.01,0.37,non-performing
5230,Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,0.18,0.14,0,0.05,0.37,non-performing
5236,Disney's The Haunted Mansion,PS2,2003,Platform,Take-Two Interactive,0.18,0.14,0,0.05,0.37,non-performing
5237,Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,0.37,non-performing
5088,ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.21,0.12,0,0.04,0.37,non-performing
5095,Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0,0.04,0.37,non-performing
5268,Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,0.28,0.02,0.03,0.03,0.36,non-performing
5135,Pac-Man World 2,GC,2002,Action,Nintendo,0.28,0.07,0,0.01,0.36,non-performing
5145,FIFA Street 2,PS2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.36,non-performing
5158,LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.13,0,0.06,0.36,non-performing
5167,GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,0.28,0.07,0,0.01,0.36,non-performing
5182,Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,0.36,non-performing
5191,MechWarrior 2: 31st Century Combat,PS,1997,Simulation,Activision,0.2,0.14,0,0.02,0.36,non-performing
5192,Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,0.04,0.03,0.27,0.02,0.36,non-performing
5196,Mobile Suit Z-Gundam,PS,1997,Action,Namco Bandai Games,0,0,0.34,0.02,0.36,non-performing
5203,Big Bass World Championship,PS,1997,Sports,Starfish,0.2,0.14,0,0.02,0.36,non-performing
5205,NBA 2K6,XB,2005,Action,Take-Two Interactive,0.27,0.08,0,0.01,0.36,non-performing
5212,World's Scariest Police Chases,PS,2001,Racing,Activision,0.2,0.14,0,0.02,0.36,non-performing
5216,MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,0.27,0.08,0,0.01,0.36,non-performing
5221,LEGO Racers,PS,1999,Racing,LEGO Media,0.2,0.14,0,0.02,0.36,non-performing
5225,ESPN NFL Football,XB,2003,Sports,Sega,0.27,0.08,0,0.01,0.36,non-performing
5243,Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.33,0.01,0,0.02,0.36,non-performing
5250,Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,0.27,0.08,0,0.01,0.36,non-performing
5257,Arctic Thunder,PS2,2001,Racing,Midway Games,0.17,0.14,0,0.05,0.36,non-performing
5259,NHL 2K10,PS2,2009,Sports,Take-Two Interactive,0.17,0.14,0,0.05,0.36,non-performing
5271,Cabela's Outdoor Adventures (2006),PS2,2005,Sports,Zoo Digital Publishing,0.17,0.14,0,0.05,0.36,non-performing
5277,Outlaw Golf 2,PS2,2004,Sports,Global Star,0.17,0.14,0,0.05,0.36,non-performing
5280,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega,0.09,0.2,0,0.07,0.36,non-performing
5282,Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.16,0,0.06,0.36,non-performing
5319,The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.16,0.01,0.06,0.36,non-performing
5127,Turok: Rage Wars,N64,1999,Shooter,Acclaim Entertainment,0.3,0.06,0,0,0.36,non-performing
5128,Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ,0.3,0.06,0,0,0.36,non-performing
5131,FIFA Soccer 13,PSP,2012,Action,Electronic Arts,0.05,0.19,0.02,0.1,0.36,non-performing
5134,Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,0,0.33,0,0.03,0.36,non-performing
5139,Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.04,0.36,non-performing
5142,Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,0.33,0,0,0.03,0.36,non-performing
5148,Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,0.3,0.01,0.02,0.03,0.36,non-performing
5150,Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,0.36,non-performing
5152,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.03,0.36,non-performing
5160,Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.04,0.36,non-performing
5161,The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,0.3,0.01,0,0.05,0.36,non-performing
5163,The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,0.31,0.02,0,0.03,0.36,non-performing
5164,NBA Live 2003,XB,2007,Sports,Electronic Arts,0.31,0.04,0,0.01,0.36,non-performing
5165,Dreamworks Madagascar Kartz,DS,2009,Racing,Activision,0.25,0.08,0,0.03,0.36,non-performing
5166,My Horse & Me,DS,2007,Sports,Atari,0.33,0,0,0.03,0.36,non-performing
5168,Zero4 Champ RR,SNES,1994,Sports,Media Rings,0,0,0.36,0,0.36,non-performing
5170,Nonomura Byoin no Hitobito,SAT,1996,Adventure,Elf,0,0,0.36,0,0.36,non-performing
5174,Resident Evil Zero,PS4,2016,Action,Capcom,0.09,0.17,0.05,0.05,0.36,non-performing
5175,Super Fire ProWrestling Special,SNES,1994,Fighting,Human Entertainment,0,0,0.36,0,0.36,non-performing
5176,Yuu Yuu Hakusho,SNES,1993,Fighting,Namco Bandai Games,0,0,0.36,0,0.36,non-performing
5177,Kamaitachi no Yoru 2,PS2,2002,Adventure,ChunSoft,0,0,0.36,0,0.36,non-performing
5181,One Piece: Gigant Battle!,DS,2010,Fighting,Namco Bandai Games,0,0,0.36,0,0.36,non-performing
5183,Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,0.07,0.19,0,0.1,0.36,non-performing
5184,Metro: Last Light,X360,2013,Action,Deep Silver,0.17,0.16,0,0.03,0.36,non-performing
5186,LocoRoco 2,PSP,2008,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.05,0.36,non-performing
5189,Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,0.24,0.09,0,0.03,0.36,non-performing
5190,BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,0.21,0.08,0.04,0.03,0.36,non-performing
5195,Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,0.33,0,0,0.03,0.36,non-performing
5198,Tropico 4,X360,2007,Strategy,Kalypso Media,0.2,0.13,0,0.03,0.36,non-performing
5202,Kirby's Dream Land 3,SNES,1997,Platform,Nintendo,0,0,0.36,0,0.36,non-performing
5206,Jurassic Park,NES,1993,Action,Ocean,0.25,0.1,0,0.01,0.36,non-performing
5207,Mystical Ninja starring Goemon,N64,1997,Action,Konami Digital Entertainment,0.07,0.02,0.23,0.04,0.36,non-performing
5210,Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,PSV,2013,Fighting,Marvelous Entertainment,0.13,0.02,0.16,0.05,0.36,non-performing
5211,North American Hunting Extravaganza,Wii,2008,Sports,Zushi Games,0.33,0,0,0.03,0.36,non-performing
5213,Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,0.2,0.11,0,0.05,0.36,non-performing
5215,AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,0.33,0,0,0.03,0.36,non-performing
5217,Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0,0.04,0.36,non-performing
5218,Hamster Club 3,GBA,2002,Simulation,Jorudan,0,0,0.35,0.01,0.36,non-performing
5219,Breath of Fire II,SNES,1994,Role-Playing,Laguna,0,0,0.36,0,0.36,non-performing
5220,Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,0.23,0.09,0.01,0.03,0.36,non-performing
5223,Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,0.33,0,0,0.03,0.36,non-performing
5224,Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,0.27,0.06,0,0.03,0.36,non-performing
5227,Naruto: Ultimate Ninja 3 (JP sales),PS2,2005,Fighting,Atari,0,0,0.36,0,0.36,non-performing
5228,Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.1,0,0.03,0.36,non-performing
5229,Worms: Open Warfare 2,DS,2007,Strategy,THQ,0.07,0.25,0,0.04,0.36,non-performing
5231,J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,Sega,0,0,0.36,0,0.36,non-performing
5232,Dark Void,PS3,2010,Action,Capcom,0.18,0.12,0,0.06,0.36,non-performing
5234,Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,0,0,0.36,0,0.36,non-performing
5235,WWE '12,Wii,2011,Fighting,THQ,0.24,0.09,0,0.03,0.36,non-performing
5239,Ryu Ga Gotoku Kenzan!,PS3,2008,Adventure,Sega,0,0,0.36,0,0.36,non-performing
5241,Super Robot Taisen A,GBA,2001,Strategy,Banpresto,0,0,0.35,0.01,0.36,non-performing
5242,Tomb Raider (2013),PC,2007,Action,Square Enix,0.06,0.25,0,0.05,0.36,non-performing
5244,Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0,0.05,0.36,non-performing
5246,We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0,0.31,0,0.05,0.36,non-performing
5251,EA Sports MMA,X360,2010,Fighting,Electronic Arts,0.23,0.1,0,0.03,0.36,non-performing
5252,Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,0,0,0.36,0,0.36,non-performing
5254,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,Konami Digital Entertainment,0,0,0.36,0,0.36,non-performing
5256,Mega Man Zero Collection,DS,2010,Platform,Capcom,0.21,0.02,0.11,0.02,0.36,non-performing
5258,G-Force,PSP,2009,Action,Electronic Arts,0.24,0.07,0,0.05,0.36,non-performing
5261,J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,Sega,0,0,0.36,0,0.36,non-performing
5264,Shrek,XB,2001,Platform,TDK Mediactive,0.25,0.1,0,0.01,0.36,non-performing
5265,CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,0.16,0.16,0,0.04,0.36,non-performing
5266,SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,0.32,0.01,0,0.03,0.36,non-performing
5289,Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.36,non-performing
5290,Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.16,0.1,0.07,0.03,0.36,non-performing
5292,Mini Ninjas,DS,2009,Action,Eidos Interactive,0.17,0.15,0,0.04,0.36,non-performing
5299,Pac-Man All-Stars,PS3,2011,Fighting,Namco Bandai Games,0.2,0.08,0.04,0.04,0.36,non-performing
5301,SimCity Creator,DS,2008,Simulation,Electronic Arts,0.3,0.03,0,0.03,0.36,non-performing
5310,Supreme Commander 2,X360,2010,Strategy,Square Enix,0.23,0.1,0,0.03,0.36,non-performing
5337,EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.36,non-performing
5226,ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",0.33,0,0,0.02,0.35,non-performing
5233,James Bond 007: Legends,PS3,2012,Shooter,Activision,0.11,0.17,0,0.07,0.35,non-performing
5238,Dance Dance Revolution 3rdMix,PS,2000,Simulation,Konami Digital Entertainment,0,0,0.33,0.02,0.35,non-performing
5247,Boxer's Road,PS,1995,Fighting,New,0,0,0.33,0.02,0.35,non-performing
5248,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.35,non-performing
5253,South Park Rally,PS,1998,Racing,Acclaim Entertainment,0.2,0.13,0,0.02,0.35,non-performing
5262,Wonder Pets! Save the Animals!,DS,2008,Adventure,Take-Two Interactive,0.33,0,0,0.02,0.35,non-performing
5263,Formula 1 Championship Edition,PS,1997,Racing,Psygnosis,0.06,0.04,0.23,0.02,0.35,non-performing
5267,Blasto,PS,1998,Action,Sony Computer Entertainment,0.2,0.13,0,0.02,0.35,non-performing
5272,Nicktoons: Unite!,GC,2005,Adventure,THQ,0.27,0.07,0,0.01,0.35,non-performing
5273,Suikoden V,PS2,2006,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35,non-performing
5275,Remember Me,PS3,2013,Action,Capcom,0.1,0.18,0,0.07,0.35,non-performing
5276,Battalion Wars 2,Wii,2007,Strategy,Nintendo,0.22,0.03,0.08,0.02,0.35,non-performing
5284,Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,0.17,0.13,0,0.05,0.35,non-performing
